Place,Type of meteorite,"Mass, g",Fell/found?,Year,Database,Coordinate 1,Coordinates 2
Hoba,"Iron, IVB","60,000,000",Found,1920,http://www.lpi.usra.edu/meteor/metbull.php?code=11890,-19.58333,17.91667
Cape York,"Iron, IIIAB","58,200,000",Found,1818,http://www.lpi.usra.edu/meteor/metbull.php?code=5262,76.13333,-64.93333
Campo del Cielo,"Iron, IAB-MG","50,000,000",Found,1576,http://www.lpi.usra.edu/meteor/metbull.php?code=5247,-27.46667,-60.58333
Canyon Diablo,"Iron, IAB-MG","30,000,000",Found,1891,http://www.lpi.usra.edu/meteor/metbull.php?code=5257,35.05,-111.03333
Armanty,"Iron, IIIE","28,000,000",Found,1898,http://www.lpi.usra.edu/meteor/metbull.php?code=2335,47,88
Gibeon,"Iron, IVA","26,000,000",Found,1836,http://www.lpi.usra.edu/meteor/metbull.php?code=10912,-25.5,18
Chupaderos,"Iron, IIIAB","24,300,000",Found,1852,http://www.lpi.usra.edu/meteor/metbull.php?code=5363,27,-105.1
Mundrabilla,"Iron, IAB-ung","24,000,000",Found,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=16852,-30.78333,127.55
Sikhote-Alin,"Iron, IIAB","23,000,000",Fell,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=23593,46.16,134.65333
Bacubirito,"Iron, ungrouped","22,000,000",Found,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=4919,26.2,-107.83333
Mbosi,"Iron, ungrouped","16,000,000",Found,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=15456,-9.11667,33.06667
Willamette,"Iron, IIIAB","15,500,000",Found,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=24269,45.36667,-122.58333
Morito,"Iron, IIIAB","10,100,000",Found,1600,http://www.lpi.usra.edu/meteor/metbull.php?code=16745,27.05,-105.43333
Nantan,"Iron, IAB-MG","9,500,000",Found,1958,http://www.lpi.usra.edu/meteor/metbull.php?code=16906,25.1,107.7
Cranbourne,"Iron, IAB-MG","8,600,000",Found,1854,http://www.lpi.usra.edu/meteor/metbull.php?code=5463,-38.1,145.3
Santa Catharina,"Iron, IAB-ung","7,000,000",Found,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=23162,-26.21667,-48.6
Bendeg?_,"Iron, IC","5,360,000",Found,1784,http://www.lpi.usra.edu/meteor/metbull.php?code=5015,-10.11667,-39.2
Brenham,"Pallasite, PMG-an","4,300,000",Found,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=5136,37.5825,-99.16361
Jilin,H5,"4,000,000",Fell,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=12171,44.05,126.16667
Vaca Muerta,Mesosiderite-A1,"3,828,000",Found,1861,http://www.lpi.usra.edu/meteor/metbull.php?code=24142,-25.75,-70.5
Toluca,"Iron, IAB-sLL","3,000,000",Found,1776,http://www.lpi.usra.edu/meteor/metbull.php?code=24018,19.56667,-99.56667
Xifu,"Iron, IAB complex","3,000,000",Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=54608,36.3,120.48333
Al Haggounia 001,Aubrite,"3,000,000",Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=44857,27.5,-12.5
Old Woman,"Iron, IIAB","2,753,000",Found,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=18007,34.46667,-115.23333
Wabar,"Iron, IIIAB","2,550,000",Found,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=24194,21.49972,50.47222
Huckitta,"Pallasite, PMG-an","2,300,000",Found,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=11922,-22.36667,135.76667
Navajo,"Iron, IIAB","2,184,000",Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=16926,35.33333,-109.5
Coahuila,"Iron, IIAB","2,100,000",Found,1837,http://www.lpi.usra.edu/meteor/metbull.php?code=5387,28.7,-102.73333
Henbury,"Iron, IIIAB","2,000,000",Found,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=11872,-24.56667,133.16667
Allende,CV3,"2,000,000",Fell,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=2278,26.96667,-105.31667
Campinorte,"Iron, ungrouped","2,000,000",Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=52093,-14.258,-49.15917
Santa Luzia,"Iron, IIAB","1,918,000",Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=23166,-16.26667,-47.95
Ghubara,L5,"1,750,000",Found,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=10911,19.22778,56.14278
Odessa (iron),"Iron, IAB-MG","1,600,000",Found,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=17985,31.71667,-102.4
Gebel Kamil,"Iron, ungrouped","1,600,000",Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=52031,22.01833,26.08778
Casas Grandes,"Iron, IIIAB","1,545,000",Found,1867,http://www.lpi.usra.edu/meteor/metbull.php?code=5285,30.4,-107.8
Bitburg,"Iron, IAB complex","1,500,000",Found,1805,http://www.lpi.usra.edu/meteor/metbull.php?code=5062,49.96667,6.53333
Quinn Canyon,"Iron, IIIAB","1,450,000",Found,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=22364,38.08333,-115.53333
Charcas,"Iron, IIIAB","1,400,000",Found,1804,http://www.lpi.usra.edu/meteor/metbull.php?code=5326,23.08333,-101.01667
Santa Apolonia,"Iron, IIIAB","1,316,000",Found,1872,http://www.lpi.usra.edu/meteor/metbull.php?code=23160,19.21667,-98.3
Tsarev,L5,"1,225,300",Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=24058,48.7,45.7
Alkhamasin,"Iron, IIAB","1,200,000",Found,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=475,20.6,44.88333
Kouga Mountains,"Iron, IIIAB","1,173,000",Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=12352,-33.61667,24
Goose Lake,"Iron, IAB-sLL","1,169,500",Found,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=10947,41.98,-120.54167
Murnpeowie,"Iron, IC","1,143,000",Found,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=16878,-29.58333,139.9
Norton County,Aubrite,"1,100,000",Fell,1948,http://www.lpi.usra.edu/meteor/metbull.php?code=17922,39.68333,-99.86667
Kunya-Urgench,H5,"1,100,000",Fell,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=12379,42.25,59.2
Fukang,"Pallasite, PMG","1,003,000",Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=34491,44.43333,87.63333
Bilibino,"Iron, IIAB","1,000,000",Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=5046,67.3,160.8
Los Sauces,Iron,"997,000",Found,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=14710,-29.41667,-66.85
Tucson,"Iron, ungrouped","975,000",Found,1850,http://www.lpi.usra.edu/meteor/metbull.php?code=24061,31.85,-110.96667
Cosby's Creek,"Iron, IAB-MG","960,000",Found,1837,http://www.lpi.usra.edu/meteor/metbull.php?code=5450,35.78333,-83.25
Imilac,"Pallasite, PMG","920,000",Found,1822,http://www.lpi.usra.edu/meteor/metbull.php?code=12025,-24.20333,-68.80667
Bondoc,Mesosiderite-B4,"888,600",Found,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=5103,13.51667,122.45
Santa Rosa,"Iron, IC","825,000",Found,1810,http://www.lpi.usra.edu/meteor/metbull.php?code=23167,5.91667,-73
Brahin,"Pallasite, PMG","823,000",Found,1810,http://www.lpi.usra.edu/meteor/metbull.php?code=5130,52.5,30.33333
Red River,"Iron, IIIAB","800,000",Found,1808,http://www.lpi.usra.edu/meteor/metbull.php?code=22548,32,-95
Sardis,"Iron, IAB complex","800,000",Found,1940,http://www.lpi.usra.edu/meteor/metbull.php?code=23177,32.94889,-81.865
Wolf Creek,"Iron, IIIAB","760,000",Found,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=24326,-19.3,127.76667
Esquel,"Pallasite, PMG","755,000",Found,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=10054,-42.9,-71.33333
Gladstone (iron),"Iron, IAB-MG","736,600",Found,1915,http://www.lpi.usra.edu/meteor/metbull.php?code=10920,-23.9,151.3
Mount Dooling,"Iron, IC","734,000",Found,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=16771,-29.45,119.71667
Krasnojarsk,"Pallasite, PMG-an","700,000",Found,1749,http://www.lpi.usra.edu/meteor/metbull.php?code=12356,54.9,91.8
Plainview (1917),H5,"700,000",Found,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=18841,34.11667,-101.78333
Ngiangri,Iron,"700,000",Found,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=16967,32.2,87.8
Davis Mountains,"Iron, IIIAB","689,000",Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=6615,30.75,-104.25
Arispe,"Iron, IC","683,000",Found,1896,http://www.lpi.usra.edu/meteor/metbull.php?code=2332,30.33333,-109.98333
Itapuranga,"Iron, IAB-MG","628,000",Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=12057,-15.58333,-50.15
La Caille,"Iron, ungrouped","626,000",Found,1828,http://www.lpi.usra.edu/meteor/metbull.php?code=12393,43.73333,6.78333
Jianshi,"Iron, IIIAB","600,000",Fell,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=12087,30.80833,109.5
Adzhi-Bogdo (iron),"Iron, IAB complex","582,000",Found,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=389,44.86667,95.41667
Long Island,L6,"564,000",Found,1891,http://www.lpi.usra.edu/meteor/metbull.php?code=14694,39.93333,-99.6
JaH 073,L6,"550,000",Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12135,19.7,55.73333
Rateldraai,"Iron, IIIAB","549,000",Found,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=22397,-28.83333,21.13333
Drum Mountains,"Iron, IIIAB","529,000",Found,1944,http://www.lpi.usra.edu/meteor/metbull.php?code=7733,39.5,-112.9
Grant,"Iron, IIIAB","525,000",Found,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=10957,35.16667,-107.88333
Tamentit,"Iron, IIIAB","510,000",Found,1864,http://www.lpi.usra.edu/meteor/metbull.php?code=23798,27.71667,-0.25
Trenton,"Iron, IIIAB","505,000",Found,1858,http://www.lpi.usra.edu/meteor/metbull.php?code=24045,43.36667,-88.13333
Haig,"Iron, IIIAB","503,000",Found,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=11471,-31.38333,125.63333
Prambanan,"Iron, ungrouped","500,000",Found,1797,http://www.lpi.usra.edu/meteor/metbull.php?code=18884,-7.56667,110.83333
Knyahinya,L/LL5,"500,000",Fell,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=12335,48.9,22.4
Ochansk,H4,"500,000",Fell,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=17979,57.78333,55.26667
Boxhole,"Iron, IIIAB","500,000",Found,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=5126,-22.61667,135.2
El Timbu,Iron,"500,000",Found,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=7820,-33.11667,-60.96667
Wildara,H5,"500,000",Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=24265,-28.23333,120.85
Jepara,"Pallasite, PMG","499,500",Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=53840,-6.6,110.73333
Saint-Aubin,"Iron, IIIAB","472,000",Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=23096,48.48333,3.58333
Carbo,"Iron, IID","454,000",Found,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=5266,29.66667,-111.5
Etter,L5,"450,000",Found,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=10062,35.98333,-101.9
SaU 001,L5,"450,000",Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=23193,20.51667,56.66667
Wallapai,"Iron, IID","430,000",Found,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=24206,35.8,-113.7
Ulasitai,Discredited,"430,000",Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=34492,44.95667,91.4025
Paragould,LL5,"408,000",Fell,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=18101,36.06667,-90.5
ALHA76009,L6,"407,000",Found,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=1316,-76.71667,159.66667
Augustinovka,"Iron, IIIAB","400,000",Found,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=4898,48.06667,35.08333
Pei Xian,Iron,"400,000",Found,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=18784,34.7,117
Mount Joy,"Iron, IIAB","384,000",Found,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=16779,39.78333,-77.21667
Mont Dieu,"Iron, ungrouped","360,000",Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=16722,49.55,4.86667
Hugoton,H5,"350,000",Found,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=11984,37.2,-101.35
Longtian,"Iron, IIIAB","350,000",Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=14696,27.35,108.5
Kokstad,"Iron, IIIE","341,000",Found,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=12341,-30.55,29.41667
Bjurb?le,L/LL4,"330,000",Fell,1899,http://www.lpi.usra.edu/meteor/metbull.php?code=5064,60.4,25.8
Millbillillie,Eucrite-mmict,"330,000",Fell,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=16643,-26.45,120.36667
Mount Edith,"Iron, IIIAB","326,000",Found,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=16773,-22.5,116.16667
Sterlitamak,"Iron, IIIAB","325,000",Fell,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=23724,53.66667,55.98333
Seymchan,"Pallasite, PMG","323,300",Found,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=23510,62.9,152.43333
Estherville,Mesosiderite-A3/4,"320,000",Fell,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=10059,43.41667,-94.83333
Tamarugal,"Iron, IIIAB","320,000",Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=23794,-20.8,-69.66667
Guffey,"Iron, ungrouped","309,000",Found,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=11441,38.76667,-105.51667
Nova Petropolis,"Iron, IIIAB","305,000",Found,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=17928,-29.43333,-50.91667
Gressk,"Iron, IIAB","303,000",Found,1955,http://www.lpi.usra.edu/meteor/metbull.php?code=11200,53.23333,27.33333
Bruderheim,L6,"303,000",Fell,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=5156,53.9,-112.88333
North Chile,"Iron, IIAB","300,000",Found,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=17001,-23,-69
Mocs,L5-6,"300,000",Fell,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=16709,46.8,24.03333
Putinga,L6,"300,000",Fell,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=18905,-29.03333,-53.05
Tianlin,"Iron, IAB complex","300,000",Found,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=23983,24.3,106.1
Morland,H6,"295,000",Found,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=16746,39.33333,-100.06667
Estacado,H6,"290,000",Found,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=10057,33.9,-101.75
Morasko,"Iron, IAB-MG","290,000",Found,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=16741,52.46667,16.9
Bur-Abor,"Iron, IIIAB","290,000",Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5166,3.98333,41.65
Clovis (no. 1),H3.6,"283,000",Found,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=5385,34.3,-103.13472
Rio Limay,L5,"280,000",Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=22609,-39.85,-69.48333
Sanclerlandia,"Iron, IIIAB","279,000",Found,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=23132,-16.21667,-50.3
South Dahna,"Iron, IAB complex","275,000",Found,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=23677,22.56667,48.3
Mount Padbury,Mesosiderite-A1,"272,000",Found,1964,http://www.lpi.usra.edu/meteor/metbull.php?code=16785,-25.66667,118.1
Saint-S?verin,LL6,"271,000",Fell,1966,http://www.lpi.usra.edu/meteor/metbull.php?code=23102,45.3,0.23333
Lake Murray,"Iron, IIAB","270,000",Found,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=12446,34.1,-97
Miles,"Iron, IIE","265,000",Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=16641,-27.83333,150.33333
Potter,L6,"261,000",Found,1941,http://www.lpi.usra.edu/meteor/metbull.php?code=18878,41.23333,-103.3
Tishomingo,"Iron, ungrouped","260,000",Found,1965,http://www.lpi.usra.edu/meteor/metbull.php?code=24010,34.25,-96.68333
Suizhou,L6,"260,000",Fell,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=23738,31.61667,113.46667
Dalgety Downs,L4,"257,000",Found,1941,http://www.lpi.usra.edu/meteor/metbull.php?code=5507,-25.33333,116.18333
Boguslavka,"Iron, IIAB","256,000",Fell,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=5098,44.55,131.63333
Dho 020,H4/5,"256,000",Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=6719,19.03333,54.51667
Uegit,"Iron, IIIAB","252,000",Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=24105,3.81667,43.33333
Netscha??vo,"Iron, IIE-an","250,000",Found,1846,http://www.lpi.usra.edu/meteor/metbull.php?code=16949,54.23333,35.15
Pultusk,H5,"250,000",Fell,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=18901,52.76667,21.26667
Omolon,"Pallasite, PMG","250,000",Fell,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=18019,64.02,161.80833
Shangdu,"Iron, IIIAB","247,000",Found,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=23523,42.5,114
St. Genevieve County,"Iron, IIIF","244,500",Found,1888,http://www.lpi.usra.edu/meteor/metbull.php?code=23086,37.96667,-90.31667
El Hammami,H5,"240,000",Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=7806,23.28333,-10.81667
Sacramento Mountains,"Iron, IIIAB","237,200",Found,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=22794,32.91667,-104.66667
New Concord,L6,"230,000",Fell,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=16953,40,-81.76667
Homestead,L5,"230,000",Fell,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=11901,41.8,-91.86667
Muonionalusta,"Iron, IVA","230,000",Found,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=16873,67.8,23.1
Alfianello,L6,"228,000",Fell,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=466,45.26667,10.15
Bear Creek,"Iron, IIIAB","227,000",Found,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=4982,39.6,-105.3
Holbrook,L/LL6,"220,000",Fell,1912,http://www.lpi.usra.edu/meteor/metbull.php?code=11894,34.9,-110.18333
Guixi,"Iron, IIIAB","220,000",Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=11446,28.28333,117.18333
Acu?a,"Iron, IIIAB","217,700",Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=373,29.31667,-100.96667
Ssyromolotovo,"Iron, IIIAB","217,000",Found,1873,http://www.lpi.usra.edu/meteor/metbull.php?code=23694,58.61667,98.93333
Chinga,"Iron, ungrouped","209,400",Found,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=5353,51.05833,94.4
Barratta,L4,"200,000",Found,1845,http://www.lpi.usra.edu/meteor/metbull.php?code=4951,-35.3,144.56667
Lowell,Doubtful meteorite,"200,000",Fell,1846,http://www.lpi.usra.edu/meteor/metbull.php?code=14717,42.68333,-71.35
Saratov,L4,"200,000",Fell,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=23176,52.55,46.55
Patos de Minas (octahedrite),"Iron, IAB complex","200,000",Found,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=18114,-18.58333,-46.53333
Kainsaz,CO3.2,"200,000",Fell,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=12229,55.43333,53.25
Dimmitt,H3.7,"200,000",Found,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=7645,34.58333,-102.16667
Kunashak,L6,"200,000",Fell,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=12377,55.78333,61.36667
Liangcheng,"Iron, IIIAB","200,000",Found,1959,http://www.lpi.usra.edu/meteor/metbull.php?code=14645,40.5,112.5
JaH 055,L4-5,"200,000",Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=12119,19.65167,55.69
Porto Alegre,"Iron, IIIE","200,000",Found,2005,http://www.lpi.usra.edu/meteor/metbull.php?code=52091,-30.03306,-51.23
Moshesh,H,"200,000",Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=16756,-30.1,28.71667
Pallasovka,"Pallasite, PMG","198,000",Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=34061,49.86667,46.61167
Kenton County,"Iron, IIIAB","194,000",Found,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=12280,38.81667,-84.6
Owens Valley,"Iron, IIIAB","192,800",Found,1913,http://www.lpi.usra.edu/meteor/metbull.php?code=18061,37.46667,-118
Guanghua,"Iron, IVA","190,000",Found,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=11434,32.4,111.7
Admire,"Pallasite, PMG","180,000",Found,1881,http://www.lpi.usra.edu/meteor/metbull.php?code=380,38.7,-96.1
Travis County (a),H5,"175,400",Found,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=24040,30.3,-97.7
Iron Creek,"Iron, IIIAB","175,000",Found,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=12047,53,-112
Tanokami Mountain,"Iron, IIIE","174,000",Found,1885,http://www.lpi.usra.edu/meteor/metbull.php?code=23872,34.91667,135.96667
Tamir-Tsetserleg,Stone-uncl,"173,000",Found,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=23799,47.45,101.47917
Owasco,L6,"168,400",Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=18060,41.2,-103.68333
Madoc,"Iron, IIIAB","168,000",Found,1854,http://www.lpi.usra.edu/meteor/metbull.php?code=15381,44.5,-77.46667
Manlai,"Iron, ungrouped","166,800",Found,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=15407,44.33333,106.5
Djati-Pengilon,H6,"166,000",Fell,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=7652,-7.5,111.5
S?o Juli?o de Moreira,"Iron, IIAB","162,000",Found,1883,http://www.lpi.usra.edu/meteor/metbull.php?code=23172,41.76611,-8.58361
Knowles,"Iron, IIIAB","161,000",Found,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=12334,36.9,-100.21667
Tenham,L6,"160,000",Fell,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=23897,-25.73333,142.95
Garabato,H5,"160,000",Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=10856,-28.86667,-60.2
Qijiaojing,"Iron, ungrouped","160,000",Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=54610,43.75,92.91667
Mount Vernon,"Pallasite, PMG","159,000",Found,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=16806,36.93333,-87.4
Longchang,"Iron, IVA-an","158,500",Found,1781,http://www.lpi.usra.edu/meteor/metbull.php?code=14695,29.3,105.3
Kimble County,H6,"153,800",Found,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=12311,30.41667,-99.4
Bluff (a),L5,"153,300",Found,1878,http://www.lpi.usra.edu/meteor/metbull.php?code=5087,29.87861,-96.87222
Forest City,H5,"152,000",Fell,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=10119,43.25,-93.66667
Glasatovo,H4,"152,000",Fell,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=10926,57.35,37.61667
Weston,H4,"150,000",Fell,1807,http://www.lpi.usra.edu/meteor/metbull.php?code=24249,41.266667,-73.266667
Magura,"Iron, IAB-MG","150,000",Found,1840,http://www.lpi.usra.edu/meteor/metbull.php?code=15388,49.33333,19.48333
McKinney,L4,"150,000",Found,1870,http://www.lpi.usra.edu/meteor/metbull.php?code=15463,33.18333,-96.71667
Olivenza,LL5,"150,000",Fell,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=18013,38.71667,-7.06667
Wiluna,H5,"150,000",Fell,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=24281,-26.59278,120.32833
Mbale,L5/6,"150,000",Fell,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=15455,1.06667,34.16667
Tres Castillos,"Iron, ungrouped","150,000",Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=24047,29.47,-105.8
Jalu,L6,"150,000",Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=12070,27.95833,21.68333
Shirokovsky,Pseudometeorite,"150,000",Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=44849,58.8,57.95
Montferr?,H5,"149,000",Fell,1923,http://www.lpi.usra.edu/meteor/metbull.php?code=16727,43.39056,1.9625
Orange River (iron),"Iron, IIIAB","148,800",Found,1855,http://www.lpi.usra.edu/meteor/metbull.php?code=18023,-30,25
Glorieta Mountain,"Pallasite, PMG-an","148,000",Found,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=10935,35.6,-105.8
Camp Wood,"Iron, IIIAB","148,000",Found,1960s,http://www.lpi.usra.edu/meteor/metbull.php?code=51830,29.7725,-99.875
Gilgoin,H5,"147,000",Found,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=10915,-30.38333,147.2
Wichita County,"Iron, IAB-MG","145,000",Found,1836,http://www.lpi.usra.edu/meteor/metbull.php?code=24257,34.06667,-98.91667
Molina,H5,"144,000",Fell,1858,http://www.lpi.usra.edu/meteor/metbull.php?code=16715,38.11667,-1.16667
Keyes,L6,"142,000",Found,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=12287,36.71667,-102.5
El Sampal,"Iron, IIIAB","142,000",Found,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=7817,-44.53333,-70.36667
Tambo Quemado,"Iron, IIIAB","141,000",Found,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=23797,-14.66667,-74.5
Selma,H4,"140,600",Found,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=23486,32.4,-87
Huizopa,"Iron, IVA","140,000",Found,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=11985,28.9,-108.56667
Ider,"Iron, IIIAB","140,000",Found,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=11999,34.68333,-85.65
Korra Korrabes,H3,"140,000",Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=12347,-25.2,18.08333
Brainard,"Iron, IIIAB","138,300",Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=5131,41.15333,-96.955
DRPA78009,"Iron, IIAB","138,100",Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=6685,-80.06667,156.38333
Cape of Good Hope,"Iron, IVB","136,000",Found,1793,http://www.lpi.usra.edu/meteor/metbull.php?code=5261,-33.5,26
Babb's Mill (Blake's Iron),"Iron, ungrouped","136,000",Found,1876,http://www.lpi.usra.edu/meteor/metbull.php?code=4915,36.3,-82.88333
Kesen,H4,"135,000",Fell,1850,http://www.lpi.usra.edu/meteor/metbull.php?code=12286,38.98333,141.61667
